Date,Name,Year,Letterboxd URI
2023-11-27,The Abyss,1989,https://boxd.it/26mK
2023-11-28,The Bad Boy of Bowling,2016,https://boxd.it/di2E
2023-12-11,The Personal History of David Copperfield,2019,https://boxd.it/iTAS
2023-12-12,The Boy and the Heron,2023,https://boxd.it/ipeM
2023-12-20,Mysterious Skin,2004,https://boxd.it/1UsG
2023-12-20,Nowhere,1997,https://boxd.it/286E
2023-12-20,The Doom Generation,1995,https://boxd.it/1PVe
2023-12-20,Totally F***ed Up,1993,https://boxd.it/1fg0
2023-12-30,Calvaire,2004,https://boxd.it/1ROk
2024-01-03,Rotting in the Sun,2023,https://boxd.it/E37y
2024-01-03,Rumble Fish,1983,https://boxd.it/2aOI
2024-01-03,Paper Moon,1973,https://boxd.it/1Ud2
2024-01-03,The Last Picture Show,1971,https://boxd.it/1weg
2024-01-03,A Nightmare on Elm Street,1984,https://boxd.it/2aw0
2024-01-04,Bargain,2022,https://boxd.it/DXXS
2024-01-05,The Alien Report,2025,https://boxd.it/pLla
2024-01-05,Brazil,1985,https://boxd.it/2be2
2024-01-10,Psy-Warriors,1981,https://boxd.it/bIYg
2024-01-13,Anatomy of a Fall,2023,https://boxd.it/yuDE
2024-01-13,Drive-Away Dolls,2024,https://boxd.it/A8vi
2024-01-13,My Own Private Idaho,1991,https://boxd.it/2ak4
2024-01-13,The Curse,2023,https://boxd.it/IWYq
2024-01-13,Lady Bird,2017,https://boxd.it/dGNE
2024-01-15,Half Nelson,2006,https://boxd.it/20Ng
2024-01-16,Superstar: The Karen Carpenter Story,1987,https://boxd.it/28Rq
2024-01-17,12 Years a Slave,2013,https://boxd.it/2D2e
2024-01-17,Dark Waters,2019,https://boxd.it/kaYu
2024-01-17,Safe,1995,https://boxd.it/1gKU
2024-01-17,3 Women,1977,https://boxd.it/YPs
2024-01-17,Edge of Tomorrow,2014,https://boxd.it/4pD0
2024-01-17,Godland,2022,https://boxd.it/Ag9E
2024-01-21,Riki-Oh: The Story of Ricky,1991,https://boxd.it/1IDs
2024-01-30,Asylum Blackout,2011,https://boxd.it/3lnU
2024-01-30,Bone Tomahawk,2015,https://boxd.it/9kiw
2024-01-30,Brawl in Cell Block 99,2017,https://boxd.it/dWOo
2024-01-30,Dragged Across Concrete,2018,https://boxd.it/fAly
2024-01-31,Godzilla Minus One,2023,https://boxd.it/zu4c
2024-01-31,Shin Godzilla,2016,https://boxd.it/a9lm
2024-01-31,Instrument,1999,https://boxd.it/1dWo
2024-02-04,Blow-Up,1966,https://boxd.it/2966
2024-02-04,Lost Highway,1997,https://boxd.it/29Wc
2024-02-05,A Story of Bones,2022,https://boxd.it/ArAw
2024-02-06,All of Us Strangers,2023,https://boxd.it/Bz3C
2024-02-09,Repentance,1984,https://boxd.it/3lRg
2024-02-10,Scorpio Rising,1963,https://boxd.it/Mks
2024-02-10,Lucifer Rising,1972,https://boxd.it/1blq
2024-02-16,Getting It Back: The Story of Cymande,2022,https://boxd.it/zegw
2024-02-19,The Zone of Interest,2023,https://boxd.it/gJsA
2024-02-24,The Master and Margarita,2024,https://boxd.it/lzAu
2024-02-26,The Hudsucker Proxy,1994,https://boxd.it/1SJA
2024-02-26,Tampopo,1985,https://boxd.it/1SZe
2024-02-28,"I'm a Cyborg, But That's OK",2006,https://boxd.it/2328
2024-02-28,Dune,1984,https://boxd.it/29tY
2024-02-28,Body Double,1984,https://boxd.it/1TGW
2024-02-28,Dressed to Kill,1980,https://boxd.it/1UO8
2024-02-28,Ritual in Transfigured Time,1946,https://boxd.it/3Af2
2024-02-28,A Study in Choreography for Camera,1945,https://boxd.it/3xWi
2024-02-28,The Very Eye of Night,1958,https://boxd.it/3A1E
2024-02-28,Ensemble for Somnambulists,1951,https://boxd.it/6p1Y
2024-03-01,To Sleep with Anger,1990,https://boxd.it/3iqG
2024-03-02,The Celebration,1998,https://boxd.it/2aCM
2024-03-02,Seven Samurai,1954,https://boxd.it/2axi
2024-03-02,Crumb,1994,https://boxd.it/1tDi
2024-03-04,Beau Travail,1999,https://boxd.it/1NI8
2024-03-04,City of God,2002,https://boxd.it/2a2a
2024-03-05,Dread Beat and Blood,1979,https://boxd.it/e4vu
2024-03-06,Blood for Dust,2023,https://boxd.it/CMck
2024-03-10,Jacob's Ladder,1990,https://boxd.it/270g
2024-03-11,The Pervert's Guide to Ideology,2012,https://boxd.it/4bOI
2024-03-11,The Pervert's Guide to Cinema,2005,https://boxd.it/1e48
2024-03-31,The Adventures of Baron Munchausen,1988,https://boxd.it/1NXs
2024-04-03,My Heart Is That Eternal Rose,1989,https://boxd.it/2HHA
2024-04-03,Raising Arizona,1987,https://boxd.it/2avQ
2024-04-03,The Princess Bride,1987,https://boxd.it/26EY
2024-04-03,Titus,1999,https://boxd.it/1RNm
2024-04-03,Godzilla,1954,https://boxd.it/28kc
2024-04-03,Bringing Out the Dead,1999,https://boxd.it/1ZZK
2024-04-03,Decision to Leave,2022,https://boxd.it/qp9e
2024-04-03,Mother,2009,https://boxd.it/1m9g
2024-04-03,Thirst,2009,https://boxd.it/1Aqq
2024-04-03,The Host,2006,https://boxd.it/28ZY
2024-04-03,Oldboy,2003,https://boxd.it/29R2
2024-04-03,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU
2024-04-03,Kids Return,1996,https://boxd.it/1sfY
2024-04-03,Europa,1991,https://boxd.it/1ZfM
2024-04-03,Natural Born Killers,1994,https://boxd.it/2aNg
2024-04-05,True Stories,1986,https://boxd.it/1wXU
2024-04-08,The Seven-Ups,1973,https://boxd.it/1hLY
2024-04-09,After Hours,1985,https://boxd.it/1VfS
2024-04-23,Jade,1995,https://boxd.it/1SUe
2024-05-09,Meteo,1990,https://boxd.it/baGM
2024-05-11,The Bitter Tears of Petra von Kant,1972,https://boxd.it/1WzE
2024-05-11,Berlin Alexanderplatz,1980,https://boxd.it/B9mo
2024-05-13,La Chimera,2023,https://boxd.it/vzVi
